Date,Round,Result,BlackElo,BlackTitle,ECO,Opening,Variation,WhiteElo,WhiteTitle,ExcitementScore
2024.02.29,2.15,1/2-1/2,2480,IM,B32,Sicilian,Labourdonnais-Loewenthal (Kalashnikov) variation,2173,FM,1.35
2024.02.29,2.16,1-0,2160,None,A16,English,Anglo-Gruenfeld defense,2465,IM,11.74
2024.02.29,2.24,1-0,2164,WGM,B12,Caro-Kann,advance variation,2491,GM,319.63
2024.02.29,2.32,1/2-1/2,1716,WCM,D35,QGD,exchange variation,1977,WFM,3.88
2024.02.29,2.38,1/2-1/2,1983,None,D00,Queen's pawn,Chigorin variation,1708,None,9.23
2024.03.01,3.1,1/2-1/2,2395,IM,C55,Two knights defence (Modern bishop's opening),None,2614,GM,1.0
2024.03.01,3.2,1-0,2603,GM,B31,Sicilian,"Nimzovich-Rossolimo attack (with ...g6, without ...d6)",2390,GM,7.75
2024.03.01,3.3,0-1,2392,IM,B89,Sicilian,"Sozin, 7.Be3",2567,IM,30.14
2024.03.01,3.4,0-1,2563,GM,A04,Reti opening,None,2382,FM,9.48
2024.03.01,3.5,1/2-1/2,2388,FM,A05,Reti opening,None,2556,GM,2.34
2024.03.01,3.6,1/2-1/2,2552,GM,C78,Ruy Lopez,Moeller defence,2369,FM,1.82
2024.03.01,3.7,1-0,2357,FM,B12,Caro-Kann,advance variation,2515,GM,162.22
2024.03.01,3.8,1/2-1/2,2506,GM,E10,Queen's pawn game,None,2348,FM,0.69
2024.03.01,3.9,1-0,2343,None,B30,Sicilian,Nimzovich-Rossolimo attack (without ...d6),2504,GM,10.35
2024.03.01,3.10,1/2-1/2,2497,IM,D73,"Neo-Gruenfeld, 5.Nf3",None,2346,FM,1.71
2024.03.01,3.11,1-0,2319,FM,E43,Nimzo-Indian,Fischer variation,2493,GM,9.64
2024.03.01,3.12,0-1,2491,GM,E62,King's Indian,"fianchetto, Larsen system",2325,FM,9.91
2024.03.01,3.13,0-1,2465,IM,B92,Sicilian,"Najdorf, Opovcensky variation",2282,WIM,7.96
2024.03.01,3.14,0-1,2275,FM,E32,Nimzo-Indian,classical variation,2463,GM,6.44
2024.03.01,3.15,0-1,2454,IM,E46,Nimzo-Indian,4.e3 O-O,2274,FM,162.1
2024.03.01,3.16,1-0,2265,FM,A11,English,Caro-Kann defensive system,2452,IM,7.04
2024.03.01,3.24,1/2-1/2,1910,None,D31,QGD,3.Nc3,2164,WGM,9.99
2024.03.01,3.32,0-1,1977,WFM,C02,French,"advance, Euwe variation",1639,None,163.85
2024.03.01,3.38,1-0,1708,None,A16,English opening,None,1977,None,16.63
2024.03.02,4.1,1/2-1/2,2443,IM,A11,English,Caro-Kann defensive system,2563,GM,5.64
2024.03.02,4.2,1-0,2515,GM,C70,Ruy Lopez,Classical defence deferred,2414,IM,10.74
2024.03.02,4.3,1-0,2504,GM,E90,King's Indian,5.Nf3,2407,IM,4.79
2024.03.02,4.4,1-0,2493,GM,B61,Sicilian,"Richter-Rauzer, Larsen variation, 7.Qd2",2392,IM,11.02
2024.03.02,4.5,1/2-1/2,2438,GM,B67,Sicilian,"Richter-Rauzer, Rauzer attack, 7...a6 defence, 8...Bd7",2491,GM,2.3
2024.03.02,4.6,1-0,2429,FM,A29,English,"four knights, kingside fianchetto",2465,IM,4.79
2024.03.02,4.7,0-1,2390,GM,A48,King's Indian,London system,2454,IM,7.89
2024.03.02,4.8,1/2-1/2,2452,IM,D02,Queen's pawn game,None,2275,FM,0.79
2024.03.02,4.9,0-1,2614,GM,E47,Nimzo-Indian,"4.e3 O-O, 5.Bd3",2388,FM,161.61
2024.03.02,4.10,1-0,2369,FM,B58,Sicilian,Boleslavsky variation,2572,GM,6.09
2024.03.02,4.11,0-1,2556,GM,C50,Giuoco Pianissimo,Italian four knights variation,2354,FM,320.76
2024.03.02,4.12,0-1,2348,FM,A06,Reti opening,None,2552,GM,7.75
2024.03.02,4.13,1-0,2346,FM,D01,Richter-Veresov attack,None,2506,GM,161.6
2024.03.02,4.14,1/2-1/2,2497,IM,D31,QGD,3.Nc3,2315,CM,3.59
2024.03.02,4.15,1/2-1/2,2300,FM,D42,QGD,"Semi-Tarrasch, 7.Bd3",2497,IM,1.83
2024.03.02,4.16,0-1,2480,IM,D35,QGD,exchange variation,2280,FM,6.28
2024.03.02,4.24,0-1,2164,WGM,B12,Caro-Kann,3.Nd2,1937,CM,8.14
2024.03.02,4.32,0-1,2187,None,A40,Queen's pawn,Franco-Indian (Keres) defence,1977,WFM,10.84
2024.03.02,4.38,1-0,1993,None,B06,Robatsch (modern) defence,None,1708,None,7.52
2024.03.02,4.94,0-1,1996,None,B01,"Scandinavian defence, Lasker variation",None,1680,None,12.65
2024.03.03,5.1,1-0,2465,IM,D27,QGA,"classical, 6...a6",2407,IM,7.3
2024.03.03,5.2,1/2-1/2,2449,IM,B28,Sicilian,O'Kelly variation,2392,IM,4.97
2024.03.03,5.3,1/2-1/2,2414,IM,C45,Scotch,Schmidt variation,2390,GM,1.4
2024.03.03,5.4,1/2-1/2,2439,IM,B22,Sicilian,Alapin's variation (2.c3),2614,GM,2.21
2024.03.03,5.5,1/2-1/2,2572,GM,A05,Reti,King's Indian attack,2443,IM,2.08
2024.03.03,5.6,0-1,2563,GM,D45,QGD semi-Slav,5...Nd7,2438,GM,5.61
2024.03.03,5.7,1-0,2434,GM,B07,Pirc defence,None,2556,GM,5.64
2024.03.03,5.8,0-1,2506,GM,A15,"English, 1...Nf6 (Anglo-Indian defense)",None,2209,FM,7.59
2024.03.03,5.9,1/2-1/2,2491,GM,E92,King's Indian,Gligoric-Taimanov system,2348,FM,1.2
2024.03.03,5.10,1/2-1/2,2275,FM,D11,QGD Slav,3.Nf3,2480,IM,2.87
2024.03.03,5.11,1-0,2272,FM,D30,Queen's gambit declined,None,2452,IM,5.31
2024.03.03,5.12,1/2-1/2,2603,GM,B54,Sicilian,Prins (Moscow) variation,2300,FM,4.12
2024.03.03,5.13,1-0,2290,FM,C65,Ruy Lopez,Berlin defence,2567,IM,5.35
2024.03.03,5.14,1-0,2280,FM,D02,Queen's bishop game,None,2515,GM,5.92
2024.03.03,5.15,1/2-1/2,2265,FM,C07,French,"Tarrasch, open variation",2504,GM,0.86
2024.03.03,5.16,1-0,2251,FM,B15,Caro-Kann,Tartakower (Nimzovich) variation,2497,IM,2.58
2024.03.03,5.24,1/2-1/2,2498,GM,E32,Nimzo-Indian,classical variation,2164,WGM,2.15
2024.03.03,5.32,0-1,1977,WFM,C07,French,"Tarrasch, open variation",1854,None,167.56
2024.03.03,5.38,1-0,1916,None,B07,Pirc defence,None,1708,None,9.14
2024.03.04,6.1,1/2-1/2,2407,IM,C67,Ruy Lopez,"Berlin defence, open variation",2563,GM,0.61
2024.03.04,6.2,0-1,2556,GM,D02,Queen's pawn game,None,2449,IM,6.79
2024.03.04,6.3,1/2-1/2,2392,IM,A04,Reti opening,None,2506,GM,2.6
2024.03.04,6.4,1/2-1/2,2452,IM,B32,Sicilian,Labourdonnais-Loewenthal (Kalashnikov) variation,2414,IM,2.17
2024.03.04,6.5,1/2-1/2,2390,GM,B10,Caro-Kann defence,None,2614,GM,3.41
2024.03.04,6.6,0-1,2429,FM,C78,Ruy Lopez,5.O-O,2572,GM,4.96
2024.03.04,6.7,0-1,2567,IM,D35,QGD,"exchange, positional line, 5...c6",2454,IM,9.46
2024.03.04,6.8,0-1,2515,GM,B12,Caro-Kann,advance variation,2439,IM,9.76
2024.03.04,6.9,1/2-1/2,2497,IM,A06,Reti opening,None,2348,FM,0.76
2024.03.04,6.10,1/2-1/2,2493,GM,E62,King's Indian,"fianchetto, Larsen system",2275,FM,2.4
2024.03.04,6.11,1/2-1/2,2443,IM,C11,French,"Steinitz, Boleslavsky variation",2491,GM,2.26
2024.03.04,6.12,1/2-1/2,2480,IM,C64,Ruy Lopez,"classical defence, 4.c3",2215,None,1.03
2024.03.04,6.13,1/2-1/2,2325,FM,A35,English,"symmetrical, four knights system",2465,IM,1.12
2024.03.04,6.14,1-0,2282,WIM,D04,Queen's pawn game,None,2603,GM,159.98
2024.03.04,6.15,1-0,2280,FM,A04,Reti opening,None,2552,GM,9.41
2024.03.04,6.16,1-0,2504,GM,E94,King's Indian,"orthodox, 7...Nbd7",2274,FM,162.88
2024.03.04,6.24,0-1,2164,WGM,D35,QGD,"exchange, positional line",1641,None,163.8
2024.03.04,6.32,0-1,2133,None,E11,"Bogo-Indian defence, Nimzovich variation",None,1977,WFM,8.2
2024.03.04,6.38,1-0,1708,None,A05,Reti,King's Indian attack,2007,None,161.37
2024.03.05,7.1,1-0,2407,IM,C65,Ruy Lopez,Berlin defence,2556,GM,10.18
2024.03.05,7.2,1-0,2414,IM,C77,Ruy Lopez,Anderssen variation,2567,IM,164.98
2024.03.05,7.3,1/2-1/2,2563,GM,A07,Reti,King's Indian attack (Barcza system),2452,IM,1.63
2024.03.05,7.4,1-0,2429,FM,C47,Four knights,"Scotch, 4...exd4",2515,GM,4.73
2024.03.05,7.5,1/2-1/2,2506,GM,C02,French,"advance, Paulsen attack",2390,GM,2.84
2024.03.05,7.6,0-1,2603,GM,C11,French,Steinitz variation,2392,IM,161.34
2024.03.05,7.7,0-1,2614,GM,B70,Sicilian,dragon variation,2369,FM,4.2
2024.03.05,7.8,1-0,2552,GM,C50,King's pawn game,None,2348,None,9.54
2024.03.05,7.9,1/2-1/2,2319,FM,B50,Sicilian,None,2497,IM,2.68
2024.03.05,7.10,1/2-1/2,2348,FM,C65,Ruy Lopez,Berlin defence,2497,IM,2.61
2024.03.05,7.11,1/2-1/2,2215,None,E04,Catalan,"open, 5.Nf3",2493,GM,2.8
2024.03.05,7.12,1/2-1/2,2491,GM,E24,Nimzo-Indian,Saemisch variation,2315,CM,7.76
2024.03.05,7.13,1-0,2274,FM,E60,King's Indian,3.g3,2480,IM,161.57
2024.03.05,7.14,0-1,2465,IM,D08,QGD,"Albin counter-gambit, Alapin variation",2209,FM,6.67
2024.03.05,7.15,0-1,2449,IM,B23,Sicilian,closed,2325,FM,320.87
2024.03.05,7.16,1-0,2275,FM,A05,Reti,"King's Indian attack, Spassky's variation",2443,IM,6.35
2024.03.05,7.24,1/2-1/2,2343,None,D35,QGD,"exchange, positional line, 5...c6",2164,WGM,1.46
2024.03.05,7.32,1-0,1977,WFM,C12,French,"MacCutcheon, Lasker variation",1804,None,325.11
2024.03.05,7.38,1-0,1946,None,D00,Queen's pawn,Chigorin variation,1708,None,9.49
2024.03.06,8.1,0-1,2556,GM,C78,Ruy Lopez,Moeller defence,2567,IM,163.59
2024.03.06,8.2,1/2-1/2,2515,GM,A35,English,"symmetrical, four knights system",2506,GM,1.24
2024.03.06,8.3,1/2-1/2,2614,GM,A37,English,"symmetrical, Botvinnik system reversed",2449,IM,1.19
2024.03.06,8.4,1-0,2443,IM,D12,QGD Slav,4.e3 Bf5,2603,GM,166.14
2024.03.06,8.5,0-1,2390,GM,A21,English opening,None,2563,GM,2.99
2024.03.06,8.6,1-0,2480,IM,A35,English,"symmetrical, four knights system",2407,IM,9.98
2024.03.06,8.7,1-0,2348,None,A18,English,"Mikenas-Carls, Flohr variation",2465,IM,7.42
2024.03.06,8.8,0-1,2452,IM,A45,Queen's pawn game,None,2395,IM,43.38
2024.03.06,8.9,1/2-1/2,2392,IM,C11,French,"Steinitz, Boleslavsky variation",2572,GM,1.85
2024.03.06,8.10,1/2-1/2,2498,GM,E20,Nimzo-Indian,Kmoch variation,2404,IM,2.24
2024.03.06,8.11,1/2-1/2,2497,IM,A07,Reti,King's Indian attack (Barcza system),2382,FM,1.58
2024.03.06,8.12,1-0,2497,IM,B07,Pirc defence,None,2357,FM,7.51
2024.03.06,8.13,1/2-1/2,2493,GM,A49,King's Indian,fianchetto without c4,2348,FM,4.58
2024.03.06,8.14,1-0,2346,FM,B12,Caro-Kann,advance variation,2491,GM,5.51
2024.03.06,8.15,1-0,2463,GM,B23,Sicilian,closed,2319,FM,5.8
2024.03.06,8.16,1/2-1/2,2438,GM,B41,Sicilian,"Kan, Maroczy bind (Reti variation)",2290,FM,3.11
2024.03.06,8.24,0-1,2164,WGM,B12,Caro-Kann,advance variation,2312,FM,161.86
2024.03.06,8.32,1-0,1756,None,E83,King's Indian,"Saemisch, Panno formation",1977,WFM,9.2
2024.03.06,8.38,1-0,1708,None,A00,Benko's opening,None,2227,None,162.05
2024.03.07,9.1,1/2-1/2,2465,IM,D27,QGA,"classical, 6...a6",2556,GM,None
2024.03.07,9.2,1/2-1/2,2603,GM,A05,Reti opening,None,2452,IM,0.74
2024.03.07,9.3,1/2-1/2,2407,IM,C49,Four knights,Nimzovich (Paulsen) variation,2515,GM,0.97
2024.03.07,9.4,1/2-1/2,2491,GM,E67,King's Indian,"fianchetto, classical variation",2390,GM,1.19
2024.03.07,9.5,1-0,2414,IM,C77,Ruy Lopez,four knights (Tarrasch) variation,2614,GM,162.11
2024.03.07,9.6,1/2-1/2,2567,IM,B32,Sicilian,Labourdonnais-Loewenthal variation,2357,FM,1.07
2024.03.07,9.7,0-1,2506,GM,B10,Caro-Kann,anti-anti-Caro-Kann defence,2319,FM,5.21
2024.03.07,9.8,0-1,2449,IM,B28,Sicilian,O'Kelly variation,2300,FM,163.63
2024.03.07,9.9,1/2-1/2,2434,GM,B07,Pirc defence,None,2215,None,2.37
2024.03.07,9.10,1/2-1/2,2572,GM,B15,Caro-Kann,Tartakower (Nimzovich) variation,2348,None,1.22
2024.03.07,9.11,1/2-1/2,2563,GM,A15,"English, 1...Nf6 (Anglo-Indian defense)",None,2369,FM,2.07
2024.03.07,9.12,1-0,2388,FM,A14,English,Neo-Catalan declined,2498,GM,8.73
2024.03.07,9.13,1/2-1/2,2290,FM,C50,Giuoco Pianissimo,None,2497,IM,1.88
2024.03.07,9.14,1/2-1/2,2382,FM,A50,Kevitz-Trajkovich defence,None,2493,GM,6.76
2024.03.07,9.15,1/2-1/2,2348,FM,D30,Queen's gambit declined,None,2480,IM,0.51
2024.03.07,9.16,0-1,2454,IM,C02,French,"advance, Steinitz variation",2262,None,6.21
2024.03.07,9.24,0-1,2395,IM,E90,King's Indian,5.Nf3,2164,WGM,8.37
2024.03.07,9.32,1-0,1977,WFM,C07,French,"Tarrasch, open variation",1759,None,164.38
2024.03.07,9.38,0-1,1962,None,A45,Queen's pawn game,None,1708,None,163.45
